Job,Processors,Execution Time,Deadline,Release Time,Scheduler Overhead (microSec),Scheduled At,Rescheduled to,Completion Time,Scheduled Hardware
0,6,6,20,1,71.90,1,-1,7,1
1,8,8,22,1,0.00,0,0,0,0
2,10,10,35,3,53.28,-1,-1,-1,2
3,4,4,18,3,0.00,0,0,0,0
4,6,6,35,5,18.38,-1,-1,-1,2
5,8,8,32,5,0.00,0,0,0,0
6,4,4,34,7,43.00,7,-1,11,1
7,6,6,45,7,0.00,0,0,0,0
8,6,6,45,9,19.01,-1,-1,-1,2
9,8,8,54,9,0.00,0,0,0,0
10,10,10,65,11,38.33,11,-1,21,1
11,4,4,38,11,0.00,0,0,0,0
12,6,6,71,13,20.32,-1,-1,-1,2
13,8,8,73,13,0.00,0,0,0,0
14,4,4,64,15,20.34,-1,-1,-1,2
15,6,6,85,15,0.00,0,0,0,0
