Job,Processors,Execution Time,Deadline,Release Time,Scheduler Overhead (microSec),Scheduled At,Rescheduled to,Completion Time,Scheduled Hardware
0,6,6,20,0,30.84,0,-1,6,1
1,8,8,22,1,28251.37,1,-1,9,1
2,10,10,35,9,70.61,9,-1,19,1
3,4,4,18,10,83.10,10,-1,14,1
4,6,6,35,14,95.93,14,-1,20,1
5,8,8,32,19,78.06,19,-1,27,1
6,4,4,34,20,84.10,20,-1,24,1
7,6,6,45,24,81.67,24,-1,30,1
8,6,6,45,27,21042.67,27,-1,33,1
9,8,8,54,30,62.61,30,-1,38,1
10,10,10,65,38,39.92,38,-1,48,1
11,4,4,38,39,31.80,-1,-1,-1,2
12,6,6,71,40,50927.18,40,-1,46,1
13,8,8,73,48,38.29,48,-1,56,1
14,4,4,64,49,44.64,49,-1,53,1
15,6,6,85,53,48.86,53,-1,59,1
